相关编号,决定税号,商品名称（中文）,商品名称（英文）,商品名称（其他）,商品描述,发布单位
R-2-2300-2024-0098,85167130,H2-CW 全自动咖啡机,H2-CW Fully Automatic Coffee Machine,,H2-CW 是一款便携式全自动咖啡机，主要应用在家庭中制作咖啡饮品，通过内置水泵产生高压，将热水以高压形式通过咖啡粉，精准提取出浓郁的咖啡液。咖啡机主要成分是塑胶件和金属件，整体采用了彩盒包装。,南京海关
R-2-2300-2024-0097,39239000,软壶,RONTAINER,,塑料制（聚乙烯），瓶口有螺纹，方便盖子密封，用于我司盛装消毒液等液体产品。容积：10L以上，单个重量：150g，尺寸：24*24.4*H23.8cm。白色透明，内外光滑、无焊无缝、重量轻、强度好、耐冲击、耐腐蚀、无毒无味、运输方便。在正常灌装、运输和装卸条件下，使用寿命长。主要是由聚乙烯材料，经过高温加热后，通过塑料模具经过吹塑成型的塑料容器。产自日本。,南京海关
R-2-5100-2024-0070,85369011,金属端子片,TERMINAL,端子,型号:172891-M2，材质：铜合金表面镀锡。外观：银白色，进口状态成卷，端子呈条状排列。加工方法：镀锡铜带经冲压模具，一次冲压成型。用途：端子压接电线，装插入胶座内，用于汽车内部电路线束中的接插件，起连接导电作用。工作电压：12V。,广州海关
R-2-5200-2024-0060,40169990,建筑隔震橡胶支座,Rubber isolation bearings for buildings,,型号：LNR400；材质：Q355B钢板、硫化橡胶；结构：上下各一层碳钢板，中间夹硫化橡胶层；功能用途：隔震支座是指结构为达到隔震要求而设置的支承装置，是在上部结构与地基之间增加隔震层，安装橡胶隔震支座，起到与地面的软连接，通过这样的技术，可以把地震80%左右的能量抵消掉。例如叠层橡胶支座(或称隔震橡胶支座、夹层橡胶垫等)。它是一种水平刚度较小而竖向刚度较大的结构构件，可承受大的水平变形，可作为承重体系的一部分；加工方法： 橡胶硫化、钢板切割、机加工；安装方法：预埋件混凝土浇筑、本体螺栓连接，产品规格： 1.8米*1.8米*400毫米,黄埔海关
R-2-2200-2024-0255,82060000,工具箱（带有94件工具）,94P 1/2”DVE BMC KIT MET,,由固定内六角扳手套（共9把）、大力钳1把、32个可互换螺丝批头和一个批头夹持器（可互换螺丝刀手柄）套装1套、活动扳手1把、套筒扳手的套筒25个（不同尺寸和形状的）、棘齿（轮）扳手1把、一字螺丝起子1把、十字螺丝起子1把、批头夹持器（可互换螺丝起子手柄1把、撬棒1把、老（台）虎钳1把、尖嘴钳1把、斜口钳1把、水泵钳（大力钳）1把、圆头锤1把、折叠切割刀1把、两用固定扳手14把，共计划94件工具配有一个由塑料模制成型的工具箱构成的成套工具，所有工具的工作面均由合金钢制成，用于工业或汽车等维修。,上海海关
R-2-2200-2024-0253,75071200,镍合金管,NICKEL ALLOY PIPE,,"规格：25.4mm*0.89mm*1800mm ；型号：N06625；加工方法：焊接 ；用途：工业,；成分：C:0.031% ,Si:0.12%,Mn:0.098%,P:0.005%,S:0.001%,Cr:20.90%,Ni:63.3%,Nb:3.28%,Mo:8.55%,Ti:0.25%,Cu:0.012%,AL:0.1%,Fe:3.21%,Co:0.053%",上海海关
R-2-2200-2024-0252,84305090,撬毛台车,Scaler,,"品名：撬毛台车
英文品名：Scaler
品牌：Normet
规格型号： Scamec 2000 S
用途：用于地下矿山和隧道的机械化撬毛作业，应用于非系统节理围岩中松散岩石的撬落。矿山和隧道在进行采掘爆破作业后，现场的巷道顶板及边帮存在破碎和不稳固的浮石，撬毛台车液压锤的钎杆可以将浮石撬落清除,  以防止浮石掉落危及人员和设备安全。适用于矿山和隧道围岩以及作业盘区、采区联道、切割槽、采准干线等。
功能：液压锤钎杆的冲击力把松动的岩石敲落，并将周围被楔住的、但仍然松动的岩石振动下来。
工作原理：在自推进底盘上装配有可伸缩机械臂，在机械臂前端安装有液压冲击锤，液压锤前端安装有钎杆。操作员通过设备的液压系统对液压锤进行操作，控制液压油流量来控制液压锤的冲击频率，驱动钎杆敲击浮石将之撬落。
结构： 
撬毛台车是自推进设备，由推进底座、控制装置、作业部件及操纵装置组装在一起。主要部件包括：驾驶室、发动机、动力换挡变速箱、车桥、制动、转向装置、伸缩工作臂、液压冲击锤、钎杆、液压支腿、空压机、前推板、液压系统和电气系统。
整机由发动机提供动力，液压系统包括由柴油机驱动的液压泵。转向、制动和撬毛作业均为液压控制。液压泵泵出的液压油由电控换向阀分配给推进底座及操作部件，电控换向阀在驾驶室的控制盘上加以控制。同一个公共的液压系统用于转向、制动、工作臂、液压冲击锤、支腿、空压机、前推板，可以同时操作转向和附件工作。
驾驶控制装置、工作臂、液压锤的操作手柄，以及支腿控制按钮、紧急停机开关、推板升降开关等均安装在驾驶室内，操作员在驾驶室内控制行驶和操作撬毛作业。
支腿用于稳固设备。前推板为撬毛作业扫清道路，防止损伤轮胎。空压机用于清洁撬毛钎杆后腔各种石粉渣子和污垢。
性能指标：撬毛工作臂覆盖范围：垂直8.4米，水平11米。液压锤冲击功  450 焦耳。",上海海关
R-2-5100-2024-0069,19042000,海乐牌燕麦即食燕麦片（冲调谷物制品）,"CAPTAIN ""HAI LE PAI"" INSTANT OATMEAL",,"海乐牌燕麦即食燕麦片（冲调谷物制品）,1KG/罐 ,1KG*12罐/箱。成份:100%燕麦片。燕麦片胚厚度0.3mm-0.45mm之间. 加工方式：脱壳后经过烧制蒸制。用脱壳机去除外壳 (无加热) 后，以80 °C 烧制3小时（kilned）蒸汽加热至温度 100-110°C 热处理后高压制片，此过程持续进行45分钟，压片后的燕麦片很热需冷却至室温后包装。食用方式：将燕麦片加入沸水或者热牛奶，倒入半杯即食燕麦片,充分搅拌,即可食用，亦可加入水果，糖浆，蜂蜜，椰浆或喜爱的配料。",广州海关
R-2-5100-2024-0068,19042000,海乐牌燕麦大燕麦片（冲调谷物制品）,"CAPTAIN ""HAI LE PAI"" JUMBO ROLLED OATS",,"海乐牌燕麦大燕麦片（冲调谷物制品），1KG/罐 ,1KG*12罐/箱。成份:100%燕麦片 。燕麦片胚厚度0.60mm-0.80mm之间,这是一个100%的全粒燕麦，因为这个过程保持了胚乳、胚芽和麸皮的组成成分。加工方式：脱壳后经过烧制蒸制。用脱壳机去除外壳 (无加热)后，以80 °C烧制3小时（kilned）蒸汽加热至温度 100-110°C 热处理后高压制片，此过程持续进行45分钟，压片后的燕麦片很热需要冷却至室温后包装。食用方式：将2杯水和半杯原粒大燕麦片倒入锅中，并煮沸低中火煮5分钟，间隙搅拌,加入牛奶或糖，亦可加入水果， 糖浆，蜂蜜，椰浆或喜爱的配料.",广州海关
R-2-5100-2024-0067,19042000,海乐牌燕麦快熟燕麦片（冲调谷物制品）,"CAPTAIN ""HAI LE PAI"" QUICK COOK OATMEAL",,"海乐牌燕麦快熟燕麦片（冲调谷物制品），1KG/罐 ,1KG*12罐/箱。成份：100%燕麦片。燕麦片胚厚度0.40mm-0.60mm之间.加工方式：脱壳后经过烧制蒸制。用脱壳机去除外壳 (无加热)后，以80 °C 烧制3小时（kilned）蒸汽加热至温度 100-110°C 热处理后高压制片，此过程持续进行45分钟，压片后的燕麦片很热需要冷却至室温后包装。食用方式：将清水煮沸，将半杯快熟燕麦片倒入1杯半的沸水内煮约3至5分钟，间歇搅拌，关上锅盖同时熄火，让它焖约2分钟。加入牛奶或糖，亦可加入水果， 糖浆，蜂蜜，椰浆或喜爱的配料。",广州海关
